Ps,Pw, Skew  , Velocity  , Depth  , D50  , Gradation  , Scour  
1,1.5,0,2.7,5.4,27,2.3,0.6
1,1.4,10,1.3,5.7,2.41,19.8,1.9
1,0.8,0,1.5,2.3,35,1.6,0.8
1,1,0,1.5,2.4,10,4.6,0.7
0.7,1.3,5,2.1,2.3,39,2.3,0.8
0.7,0.9,65,0.8,2.9,4.1,6.4,0.6
0.7,0.9,63,0.5,2.8,36.3,5.4,1
1,1,0,2.2,9.3,0.28,1.8,1.1
1.3,3.7,0,1.4,9.8,0.48,1.8,0.8
1.3,1.9,8,2,8.6,6.9,6.2,1.6
1,0.6,10,1.9,6.2,0.9,4.2,1.2
1.3,1.2,0,0.7,1.9,0.38,2.3,1.2
1,0.9,5,1.6,9.4,0.34,1.4,0.7
1,1.5,0,2.7,5.8,27,2.3,0.6
1,1.1,0,1.4,4.1,0.78,3.4,0.3
1,1.3,0,2.1,3.2,17,2.5,0.9
1.3,5.4,0,1.4,9.5,0.48,1.8,4.2
1,4.3,0,2.5,11.7,0.3,1.4,4.4
1,1,0,1.4,3.1,17,2.8,0.5
0.7,0.9,60,0.7,2.3,24,3.3,1.1
1.3,0.3,15,0.7,0.6,0.94,3,0.2
1.3,0.3,16,1.2,1.9,0.94,3,0.6
1,3,0,4.5,7.7,45,2.7,0.9
0.7,1.8,0,3.7,5.5,5,5.5,1.1
1.3,4.7,4,1.8,16.7,0.6,2.1,6.5
1,1.5,0,3.7,9.6,27,2.3,1.2
1,1.5,0,1.1,1.8,1.8,4.6,0.5
1,1.6,85,0.8,1.8,9,19.3,0.3
0.7,1.3,5,2.5,2.6,39,2.3,1.1
1,1,0,1.6,1.5,7.6,3,0.8
0.7,1.5,0,3.5,5.2,70,1.2,0.6
0.7,0.9,0,2.5,2.5,73,2.3,0.7
1,1.6,0,1.4,2,25,3.8,1
1,1.2,19,0.8,0.7,0.64,1.9,0.6
1.3,0.3,20,0.8,0.3,0.94,3,0.3
1,1.5,0,2.1,2.6,1.8,4.6,1.1
1,1.5,0,3.2,8.1,27,2.3,1.2
1,4.3,0,2.6,10.8,0.3,1.4,3.3
1,1.5,0,3.9,9.5,27,2.3,1.2
